Material 	Thermal expansion (1/°C) 10-6 
Acrylic	70
Air	3400
Aluminum	23.1
Beryllium	11.3
Borosilicate Glass	3.3
Brass	19.0
Bronze	18.7
Carbon Fiber	0.8
Carbon Steel	10.8
Cast Iron	11
Ceramics	3.0 - 5.0
Chrome Steel	12.0
Cobalt	13
Concrete	12
Copper	16.5
Diamond	1.0 - 1.3
Epoxy Resin	60 - 120
Ethanol	250
Gasoline	315
Glass	9.0
Glass Fiber	5.5
Gold	14
Granite	7.9
Graphite	4.5
Inconel	12.5
Indium	33
Invar	1.2
Iridium	6.5
Iron	11.8
Lead	29
Limestone	8
Lithium	46
Magnesium	26
Manganese	22
Marble	7
Mica	3
Molybdenum	4.8
Nickel	13.5
Nylon	110
Osmium	5.5
Platinum	9
Polyester	125
Polyethylene (PE)	110
Polypropylene (PP)	150
Polystyrene (PS)	70
Quartz - Fused	0.55
Rock salt	40
Rubber	80
Silicon	3
Silver	19.5
Sodium	71
Steel	12
Teflon (PTFE)	112
Thallium	29.9
Thulium	13.5
Tin	22
Titanium	8.5
Tungsten	4.5
Uranium	13.5
Water	69
Water	69
Wax	6.5
Ytterbium	26
Yttrium	11
Zinc	35
Zirconium	5.5
